id,label
0,malicious
1,malicious
2,malicious
3,malicious
4,benign
5,benign
6,malicious
7,benign
8,malicious
9,malicious
10,malicious
11,malicious
12,benign
13,benign
14,malicious
15,malicious
16,benign
17,malicious
18,malicious
19,benign
20,benign
21,benign
22,benign
23,malicious
24,malicious
25,malicious
26,benign
27,malicious
28,benign
29,benign
30,benign
31,benign
32,benign
33,malicious
34,malicious
35,malicious
36,benign
37,benign
38,benign
39,benign
40,benign
41,malicious
42,malicious
43,benign
44,malicious
45,benign
46,benign
47,malicious
48,malicious
49,benign
50,benign
51,malicious
52,malicious
53,benign
54,benign
55,benign
56,malicious
57,malicious
58,malicious
59,malicious
60,malicious
61,malicious
62,malicious
63,benign
64,malicious
65,malicious
66,benign
67,malicious
68,malicious
69,benign
70,benign
71,benign
72,malicious
73,benign
74,benign
75,benign
76,benign
77,benign
78,benign
79,malicious
80,benign
81,benign
82,benign
83,benign
84,malicious
85,benign
86,malicious
87,benign
88,malicious
89,benign
90,malicious
91,malicious
92,benign
93,benign
94,malicious
95,benign
96,benign
97,malicious
98,malicious
99,malicious
100,malicious
101,malicious
102,benign
103,benign
104,malicious
105,benign
106,malicious
107,malicious
108,malicious
109,malicious
110,benign
111,malicious
112,malicious
113,malicious
114,malicious
115,malicious
116,benign
117,benign
118,benign
119,malicious
120,benign
121,malicious
122,benign
123,malicious
124,benign
125,benign
126,malicious
127,malicious
128,malicious
129,malicious
130,benign
131,malicious
132,benign
133,malicious
134,benign
135,malicious
136,malicious
137,benign
138,malicious
139,benign
140,benign
141,benign
142,benign
143,malicious
144,benign
145,benign
146,benign
147,benign
148,benign
149,benign
150,benign
151,benign
152,benign
153,malicious
154,malicious
155,benign
156,benign
157,malicious
158,benign
159,malicious
160,malicious
161,benign
162,benign
163,malicious
164,benign
165,malicious
166,malicious
167,malicious
168,benign
169,malicious
170,malicious
171,malicious
172,benign
173,benign
174,benign
175,benign
176,benign
177,benign
178,benign
179,benign
180,malicious
181,malicious
182,malicious
183,malicious
184,benign
185,malicious
186,benign
187,malicious
188,malicious
189,malicious
190,malicious
191,benign
192,benign
193,malicious
194,malicious
195,benign
196,malicious
197,benign
198,benign
199,benign
200,malicious
201,malicious
202,benign
203,malicious
204,benign
205,benign
206,malicious
207,benign
208,malicious
209,malicious
210,benign
211,benign
212,benign
213,malicious
214,malicious
215,malicious
216,malicious
217,malicious
218,benign
219,benign
220,malicious
221,malicious
222,benign
223,malicious
224,benign
225,malicious
226,benign
227,benign
228,benign
229,benign
230,benign
231,malicious
232,benign
233,malicious
234,benign
235,malicious
236,benign
237,malicious
238,malicious
239,benign
240,malicious
241,benign
242,malicious
243,benign
244,malicious
245,benign
246,benign
247,benign
248,malicious
249,benign
250,malicious
251,malicious
252,benign
253,benign
254,benign
255,benign
256,malicious
257,malicious
258,malicious
259,malicious
260,malicious
261,benign
262,malicious
263,benign
264,malicious
265,benign
266,malicious
267,malicious
268,malicious
269,benign
270,benign
271,benign
272,benign
273,malicious
274,benign
275,malicious
276,benign
277,malicious
278,malicious
279,malicious
280,benign
281,malicious
282,malicious
283,malicious
284,malicious
285,benign
286,malicious
287,benign
288,malicious
289,malicious
290,malicious
291,malicious
292,benign
293,benign
294,benign
295,malicious
296,benign
297,malicious
298,malicious
299,benign
300,malicious
301,malicious
302,malicious
303,benign
304,malicious
305,malicious
306,malicious
307,malicious
308,malicious
309,benign
310,benign
311,benign
312,malicious
313,malicious
314,benign
315,benign
316,benign
317,benign
318,benign
319,malicious
320,benign
321,benign
322,malicious
323,malicious
324,benign
325,benign
326,malicious
327,benign
328,malicious
329,benign
330,benign
331,malicious
332,benign
333,benign
334,benign
335,benign
336,malicious
337,benign
338,benign
339,benign
340,benign
341,malicious
342,malicious
343,benign
344,benign
345,benign
346,benign
347,malicious
348,benign
349,malicious
350,malicious
351,benign
352,benign
353,malicious
354,benign
355,malicious
356,benign
357,malicious
358,benign
359,malicious
360,benign
361,malicious
362,malicious
363,malicious
364,malicious
365,benign
366,benign
367,malicious
368,benign
369,benign
370,benign
371,benign
372,benign
373,malicious
374,malicious
375,malicious
376,malicious
377,malicious
378,benign
379,malicious
380,malicious
381,malicious
382,malicious
383,benign
384,benign
385,benign
386,malicious
387,benign
388,malicious
389,benign
390,benign
391,malicious
392,benign
393,benign
394,malicious
395,malicious
396,benign
397,benign
398,malicious
399,benign
400,benign
401,malicious
402,benign
403,malicious
404,benign
405,benign
406,benign
407,benign
408,malicious
409,benign
410,malicious
411,benign
412,benign
413,benign
414,benign
415,benign
416,benign
417,benign
418,benign
419,benign
420,malicious
421,malicious
422,benign
423,malicious
424,malicious
425,malicious
426,malicious
427,benign
428,benign
429,malicious
430,malicious
431,benign
432,benign
433,benign
434,malicious
435,malicious
436,benign
437,benign
438,benign
439,benign
440,benign
441,malicious
442,malicious
443,malicious
444,malicious
445,malicious
446,benign
447,benign
448,malicious
449,malicious
450,benign
451,benign
